Domande,Risposte
Perché lo sqalo bianco non può vivere negli acquari?,Lo squalo bianco non può vivere in acquario perché ha bisogno di enormi quantità di acqua per vivere fuori dal suo habitat . Anche perché deve essere sempre in movimento 
Come fanno gli squali a respirare se non possono mai fermarsi?,"La maggior parte degli squali non dorme mai, o meglio non lo fa come siamo soliti immaginare noi il sonno. Gli squali infatti devono sempre avere l’acqua in movimento sopra alle loro branchie per poter respirare e ricevere l’ossigeno di cui hanno bisogno."
Ci sono squali non carnivori?,"Non tutte le specie sono carnivore. Lo squalo balena, ad esempio, si nutre esclusivamente di plancton ed è quindi innocuo anche per l’uomo oltre che per le altre specie marine."
Come sono disposti i denti delli squali?,Tutti gli squali hanno più file di denti lungo i bordi delle loro mascelle superiori e inferiori. I denti nuovi crescono continuamente in un solco appena dentro la bocca e avanzano da dentro la bocca su un “nastro trasportatore” costituito da pelle cui sono ancorati.
Qual è la differenza tra la pinna caudale degli squali e quella dei pesci ossei?,"Gli squali possiedono una pinna caudale eterocerca la cui parte dorsale è di solito molto più grande di quella ventrale. Questo è dovuto al fatto che la colonna vertebrale dello squalo si estende fino alla porzione dorsale, dando una maggiore area superficiale ai legamenti dei muscoli. L’opposto accade nei pesci ossei, i membri della classe degli Osteitti, che sono dotati di pinna caudale omocerca."
Qual è l’aspettativa di vita media degli squali e quale specie vive più a lungo?,"L’aspettativa di vita media degli squali è di circa 25 anni, anche se alcuni taxa vivono più a lungo di altri. Lo squalo della Groenlandia (Somniosus microcephalus) vive in media 272 anni."
Per quali motivi uno squalo morde?,"Uno squalo morde durante 3 attività: mangiare, esplorare o difendersi. Se ha fame e scopre un nuovo oggetto, per esempio, lo morderà per provarlo, ma se non gli piace se ne andrà. È facile scambiare un morso identificativo per un’aggressività."
Quali comportamenti si  possono osservare durante il periodo di accoppiamento?,"In tempi di accoppiamento si possono osservare comportamenti di aggressività e sottomissione, in cui la dimensione corporea gioca un ruolo fondamentale. Normalmente, il portamento del maschio influenza il suo successo riproduttivo, poiché tiene la femmina con i denti durante l’accoppiamento e deve essere in grado di controllarla."
Si può addestrare uno squalo?,"Nonostante la credenza che gli animali meno intelligenti non possano essere addestrati, gli squali in cattività vengono addestrati per facilitare le cure sanitarie. Il processo più comune è la desensibilizzazione, che riduce lo stress degli squali e li rende più a loro agio con la presenza umana. Questo viene ottenuto attraverso il rinforzo positivo e molta pazienza."
Come si distingue uno squalo maschio da uno squalo femmina?,"Negli squali, distinguere un maschio da una femmina è facile: in posizione ventrale, dietro alle pinne pelviche, i maschi hanno due prolungamenti, gli pterigopodi, che ricordano nella forma due grossi sigari. Queste strutture vengono utilizzate durante l’accoppiamento per fecondare le femmine"